政黨代碼,政黨名稱
1,中國國民黨
10,中國民眾黨
15,勞動黨
16,民主進步黨
73,公民黨
74,新黨
79,綠黨
90,親民黨
95,台灣團結聯盟
98,中華民族致公黨
101,台灣工黨
106,無黨團結聯盟
113,中華統一促進黨
153,人民最大黨
188,正黨
198,新華勞動黨
199,人民民主黨
203,共和黨
219,台灣進步黨
236,新生黨
250,中國國家社會主義勞工黨
257,天宙和平統一家庭黨
264,經濟黨
267,時代力量
269,社會民主黨
290,台灣君民黨
295,全國人民黨
303,台灣基進
306,台灣動物保護黨
307,中華文化復興在理黨
310,青年陽光黨
315,臺灣人民共產黨
316,中國和平統一黨
320,龍黨
321,台灣學習黨
338,左翼聯盟
340,台灣經濟發展黨
343,天一黨
350,台灣民眾黨
353,統一聯盟黨
355,台澎黨
356,台灣維新
357,小民參政歐巴桑聯盟
367,夏潮聯合會
368,金色力量黨
370,台灣新住民黨
371,前進黨
372,台灣澎友黨
375,正神名黨
999,無黨籍及未經政黨推薦
